Model,Dataset,Train_R2,Test_R2,Train_RMSE,Test_RMSE,Train_MAE,Test_MAE,CV_R2_Mean,CV_R2_Std
Linear Regression,Kazakhstan,0.2015284884401147,0.060982954340812,0.6078722110903676,0.8113262895014444,0.4088876136395992,0.5167928129677875,-0.7051050310393076,0.793265833431458
Ridge Regression,Kazakhstan,0.2006530453025046,0.0812276758788599,0.6082053549556989,0.8025327477396992,0.4078584064054659,0.5104838851856092,-0.6164925367856764,0.6429887279250697
Lasso Regression,Kazakhstan,0.0654859270822445,0.0497654357503707,0.6576207379148088,0.8161579635026965,0.4404982232012845,0.5369696224031647,-0.0876688172337455,0.0743060360217012
Elastic Net,Kazakhstan,0.1317062655108192,0.1195262826179981,0.6338929341291636,0.7856281005549662,0.4258316079335131,0.5131159476678587,-0.1322439296007034,0.0818633762261126
Linear Regression,Foreign,0.843165668488483,0.8679463766495575,0.4539177681687926,0.4267651784158585,0.3429052649670039,0.3414781134247502,0.82921928529894,0.0235677972247131
Ridge Regression,Foreign,0.843164102295805,0.8679488533924328,0.4539200346397344,0.426761176281936,0.3430285101723242,0.3415417810155877,0.8292954849650066,0.0234794636014356
Lasso Regression,Foreign,0.8256392660764,0.8505569665413704,0.4786091076646942,0.4539956090351474,0.3720108387630995,0.3545561320216636,0.8224339014905707,0.0216873557605185
Elastic Net,Foreign,0.8313096471362782,0.8500711033342703,0.4707623670652267,0.4547330163379249,0.363076449001696,0.3586190634979747,0.8262945849241913,0.0217658599904592
Random Forest,Kazakhstan,0.8463170249885988,-0.03669177608648466,0.2666830765951313,0.8524788980109063,0.18899584077380926,0.5850719333333331,-0.47773908818400945,0.3937811712185292
Gradient Boosting,Kazakhstan,0.9317007174121391,0.10476530190136069,0.1777831709993577,0.7921861841871136,0.14184968630933747,0.5809914829194748,-0.7702844306649073,0.42299992494128097
AdaBoost,Kazakhstan,0.7410892171398422,0.09065550179121307,0.3461446680000657,0.7984046037341473,0.28699683145926325,0.5157706374270615,-0.04338857652953234,0.19691309817074987
Random Forest,Foreign,0.9832465180204384,0.9111937698780752,0.14835738031143214,0.3499737994588914,0.09968477842003866,0.25555999999999995,0.8777489742106743,0.03785367115705268
Gradient Boosting,Foreign,0.9516163251858528,0.905807224865437,0.2521192693445825,0.36043139391997703,0.18956929425486846,0.27814724149958686,0.8886816693968639,0.03663066393486514
AdaBoost,Foreign,0.8994562609515211,0.8937185212076322,0.3634411771701582,0.3828623048456901,0.296130247870748,0.32270553755979314,0.8703513951459574,0.03915769668459259
